
Image 112 |  PSNR - 36.46601367091665 | MSE - 44.01495361328125 | MAE - 533472.0
Image 113 |  PSNR - 36.712453986912855 | MSE - 41.58686828613281 | MAE - 466981.0
Image 114 |  PSNR - 27.574390551879095 | MSE - 341.0064239501953 | MAE - 1181843.0
Image 115 |  PSNR - 33.2322685075487 | MSE - 92.67759704589844 | MAE - 694541.0
Image 116 |  PSNR - 44.59710568698084 | MSE - 6.7684783935546875 | MAE - 169735.0
Image 117 |  PSNR - 37.39466001408158 | MSE - 35.54148864746094 | MAE - 414289.0
Image 118 |  PSNR - 22.697164394231436 | MSE - 1048.2990112304688 | MAE - 2768122.0
Image 119 |  PSNR - 35.93603582275323 | MSE - 49.7276611328125 | MAE - 554620.0
Image 120 |  PSNR - 32.66255622545821 | MSE - 105.66860961914062 | MAE - 744494.0
Image 121 |  PSNR - 22.69950410074118 | MSE - 1047.7344055175781 | MAE - 2308812.0
Image 122 |  PSNR - 26.643454630194157 | MSE - 422.5286407470703 | MAE - 1334889.0
Image 123 |  PSNR - 38.857926919709065 | MSE - 25.375167846679688 | MAE - 386989.0
Image 124 |  PSNR - 30.286016185470984 | MSE - 182.6417236328125 | MAE - 1026060.0
Image 125 |  PSNR - 30.470536515356308 | MSE - 175.04429626464844 | MAE - 998143.0
Image 126 |  PSNR - 28.35516735256759 | MSE - 284.89503479003906 | MAE - 1310969.0
Image 127 |  PSNR - 27.28698967531495 | MSE - 364.3364715576172 | MAE - 1498085.0
Image 128 |  PSNR - 27.75554046705639 | MSE - 327.0751647949219 | MAE - 1286626.0
Image 129 |  PSNR - 33.09354302651351 | MSE - 95.68576049804688 | MAE - 781838.0
Image 130 |  PSNR - 38.987346961694506 | MSE - 24.630142211914062 | MAE - 387945.0
Image 131 |  PSNR - 27.908097359358216 | MSE - 315.7852783203125 | MAE - 1250786.0
Image 132 |  PSNR - 37.549482243088676 | MSE - 34.296783447265625 | MAE - 460510.0
Image 133 |  PSNR - 27.852409360086998 | MSE - 319.8605499267578 | MAE - 1298267.0
Image 134 |  PSNR - 38.13800407889474 | MSE - 29.950302124023438 | MAE - 425051.0
Image 135 |  PSNR - 23.28955678384165 | MSE - 914.6310424804688 | MAE - 2837352.0
Image 136 |  PSNR - 46.9475390335931 | MSE - 3.9395599365234375 | MAE - 127117.0
Image 137 |  PSNR - 19.562296581461002 | MSE - 2157.6050872802734 | MAE - 3247237.0
Image 138 |  PSNR - 27.667558599450246 | MSE - 333.76881408691406 | MAE - 1331917.0
Image 139 |  PSNR - 24.624674002119736 | MSE - 672.5649261474609 | MAE - 2195883.0
Image 140 |  PSNR - 35.931302271631736 | MSE - 49.781890869140625 | MAE - 608030.0
Image 141 |  PSNR - 32.12635561275876 | MSE - 119.55453491210938 | MAE - 860712.0
Image 142 |  PSNR - 36.86514811585146 | MSE - 40.150115966796875 | MAE - 441064.0
Image 143 |  PSNR - 33.465877731530554 | MSE - 87.82412719726562 | MAE - 635306.0
Image 144 |  PSNR - 17.262546584546566 | MSE - 3663.92822265625 | MAE - 4922890.0
Image 145 |  PSNR - 32.20664347277492 | MSE - 117.36463928222656 | MAE - 835213.0
Image 146 |  PSNR - 26.391040124838806 | MSE - 447.8139343261719 | MAE - 1614402.0
Image 147 |  PSNR - 25.899542261709392 | MSE - 501.4728088378906 | MAE - 1726550.0
Image 148 |  PSNR - 21.00885655770341 | MSE - 1546.3790588378906 | MAE - 2756744.0
Image 149 |  PSNR - 29.324964133072505 | MSE - 227.8794708251953 | MAE - 977131.0
Image 150 |  PSNR - 33.94205007735109 | MSE - 78.70396423339844 | MAE - 694261.0
Image 151 |  PSNR - 34.77720848045534 | MSE - 64.93528747558594 | MAE - 472219.0
Image 152 |  PSNR - 36.849818877006896 | MSE - 40.292083740234375 | MAE - 497054.0
Image 153 |  PSNR - 33.73222819821089 | MSE - 82.59976196289062 | MAE - 623428.0
Image 154 |  PSNR - 28.446179107733865 | MSE - 278.98683166503906 | MAE - 1239825.0
Image 155 |  PSNR - 37.51387143816257 | MSE - 34.57916259765625 | MAE - 450228.0
Image 156 |  PSNR - 23.30008904587413 | MSE - 912.4156188964844 | MAE - 1748918.0
Image 157 |  PSNR - 41.5339118467023 | MSE - 13.702835083007812 | MAE - 286635.0
Image 158 |  PSNR - 26.091972269140914 | MSE - 479.73829650878906 | MAE - 1872317.0
Image 159 |  PSNR - 36.97762170313621 | MSE - 39.1236572265625 | MAE - 437516.0
Image 160 |  PSNR - 47.51337319844506 | MSE - 3.45831298828125 | MAE - 149186.0
Image 161 |  PSNR - 33.61689325296005 | MSE - 84.82273864746094 | MAE - 541625.0
Image 162 |  PSNR - 41.05384077168631 | MSE - 15.304443359375 | MAE - 232724.0
Image 163 |  PSNR - 29.997282593687373 | MSE - 195.1970977783203 | MAE - 873697.0
Image 164 |  PSNR - 26.684893846703023 | MSE - 418.5161590576172 | MAE - 1517379.0
Image 165 |  PSNR - 28.336269576391985 | MSE - 286.1374206542969 | MAE - 1279846.0
Image 166 |  PSNR - 30.80925804679097 | MSE - 161.91079711914062 | MAE - 906258.0
Image 167 |  PSNR - 34.59829443951782 | MSE - 67.666259765625 | MAE - 569876.0
Image 168 |  PSNR - 36.082150880088584 | MSE - 48.08244323730469 | MAE - 454687.0
Image 169 |  PSNR - 31.449164752877422 | MSE - 139.72854614257812 | MAE - 839494.0
Image 170 |  PSNR - 25.98675666517918 | MSE - 491.50274658203125 | MAE - 1620932.0
Image 171 |  PSNR - 20.86155818098178 | MSE - 1599.7267150878906 | MAE - 2250400.0
Image 172 |  PSNR - 23.765341433466993 | MSE - 819.7236633300781 | MAE - 1918414.0
Image 173 |  PSNR - 49.94502335118926 | MSE - 1.9756011962890625 | MAE - 111067.0
Image 174 |  PSNR - 32.30327028320485 | MSE - 114.78221130371094 | MAE - 935455.0
Image 175 |  PSNR - 26.12833808891431 | MSE - 475.7379608154297 | MAE - 1795891.0
Image 176 |  PSNR - 31.723779652053764 | MSE - 131.16671752929688 | MAE - 981544.0
Image 177 |  PSNR - 35.02929802831156 | MSE - 61.27337646484375 | MAE - 612362.0
Image 178 |  PSNR - 33.43298631759913 | MSE - 88.49179077148438 | MAE - 678890.0
Image 179 |  PSNR - 29.41784616466113 | MSE - 223.05758666992188 | MAE - 1135488.0
Image 180 |  PSNR - 27.561024464011613 | MSE - 342.0575408935547 | MAE - 1390713.0
Image 181 |  PSNR - 28.63314005443354 | MSE - 267.2314758300781 | MAE - 1238242.0
Image 182 |  PSNR - 35.36868179746293 | MSE - 56.66741943359375 | MAE - 600582.0
Image 183 |  PSNR - 34.80283995360775 | MSE - 64.55317687988281 | MAE - 629125.0
Image 184 |  PSNR - 31.367330178865128 | MSE - 142.3864288330078 | MAE - 935691.0
Image 185 |  PSNR - 34.98719605891993 | MSE - 61.870269775390625 | MAE - 540128.0
Image 186 |  PSNR - 24.757520305051933 | MSE - 652.3033142089844 | MAE - 1506728.0
Image 187 |  PSNR - 40.63328307897872 | MSE - 16.860610961914062 | MAE - 282219.0
Image 188 |  PSNR - 35.23790629432061 | MSE - 58.399749755859375 | MAE - 561184.0
Image 189 |  PSNR - 33.93373663614338 | MSE - 78.85476684570312 | MAE - 706398.0
Image 190 |  PSNR - 34.37354250142225 | MSE - 71.26025390625 | MAE - 564468.0
Image 191 |  PSNR - 36.20465929775666 | MSE - 46.74505615234375 | MAE - 511818.0
Image 192 |  PSNR - 27.166516146450483 | MSE - 374.5846710205078 | MAE - 1407723.0
Image 193 |  PSNR - 15.810760938568155 | MSE - 5118.297454833984 | MAE - 6533564.0
Image 194 |  PSNR - 31.666414027973957 | MSE - 132.91078186035156 | MAE - 853131.0
Image 195 |  PSNR - 32.19368471055048 | MSE - 117.71536254882812 | MAE - 791662.0
Image 196 |  PSNR - 29.401719226065687 | MSE - 223.88742065429688 | MAE - 917714.0
Image 197 |  PSNR - 40.58472490522112 | MSE - 17.050186157226562 | MAE - 305243.0
Image 198 |  PSNR - 33.15720127527625 | MSE - 94.29344177246094 | MAE - 731731.0
Image 199 |  PSNR - 37.51193437310222 | MSE - 34.59458923339844 | MAE - 406175.0
Image 200 |  PSNR - 40.42903235276751 | MSE - 17.672515869140625 | MAE - 328276.0
Image 201 |  PSNR - 20.874321202380933 | MSE - 1595.0323486328125 | MAE - 3668512.0
Image 202 |  PSNR - 38.70421727282303 | MSE - 26.289352416992188 | MAE - 383015.0
Image 203 |  PSNR - 38.306816265138686 | MSE - 28.808456420898438 | MAE - 418125.0
Image 204 |  PSNR - 41.00451755947725 | MSE - 15.479248046875 | MAE - 275244.0
Image 205 |  PSNR - 33.95668494670467 | MSE - 78.43919372558594 | MAE - 691279.0
Image 206 |  PSNR - 37.952608426290816 | MSE - 31.25653076171875 | MAE - 400586.0
Image 207 |  PSNR - 34.94728303521653 | MSE - 62.441497802734375 | MAE - 527464.0
Image 208 |  PSNR - 34.50847836240965 | MSE - 69.08023071289062 | MAE - 505696.0
